,World_Rank,Institution,Location,National_Rank,Quality_of_Education,Alumni_Employment,Quality_of_Faculty,Publications,Influence,Citations,Patents,Score
0,1,Harvard University,USA,1,7,9,1,1,1,1,5,100.00
1,2,Massachusetts Institute of Technology,USA,2,9,17,3,12,4,4,1,91.67
2,3,Stanford University,USA,3,17,11,5,4,2,2,15,89.50
3,4,University of Cambridge,United Kingdom,1,10,24,4,16,16,11,50,86.17
4,5,California Institute of Technology,USA,4,2,29,7,37,22,22,18,85.21
5,6,Princeton University,USA,5,8,14,2,53,33,26,102,82.50
6,7,University of Oxford,United Kingdom,2,13,28,9,15,13,19,26,82.34
7,8,Yale University,USA,6,14,31,12,14,6,15,66,79.14
8,9,Columbia University,USA,7,23,21,10,13,12,14,5,78.86
9,10,"University of California, Berkeley",USA,8,16,52,6,6,5,3,16,78.55
10,11,University of Chicago,USA,9,15,26,8,34,20,28,102,73.82
11,12,Cornell University,USA,10,21,42,14,22,21,16,10,73.69
12,13,University of Pennsylvania,USA,11,31,16,24,9,10,8,9,73.64
13,14,University of Tokyo,Japan,1,32,19,31,8,19,23,3,69.49
14,15,Johns Hopkins University,USA,12,34,77,20,11,9,9,7,66.94
15,16,Swiss Federal Institute of Technology in Zurich,Switzerland,1,26,66,11,40,51,44,34,66.69
16,17,Kyoto University,Japan,2,42,38,19,25,36,43,23,65.76
17,18,Weizmann Institute of Science,Israel,1,4,102,22,102,67,102,29,65.09
18,19,"University of California, Los Angeles",USA,13,62,59,23,3,11,6,13,64.05
19,20,"University of California, San Diego",USA,14,61,102,15,10,8,10,22,63.11
20,21,Rockefeller University,USA,15,1,102,16,102,28,96,102,61.74
21,22,Hebrew University of Jerusalem,Israel,2,24,93,13,102,91,102,28,60.76
22,23,New York University,USA,16,89,75,17,42,24,34,62,60.55
23,24,"University of California, San Francisco",USA,17,102,102,21,19,3,13,33,59.70
24,25,University of Wisconsin–Madison,USA,18,64,63,33,17,30,21,21,59.66
25,26,University of Illinois at Urbana–Champaign,USA,19,82,102,18,35,71,39,44,59.00
26,27,Duke University,USA,20,65,43,55,20,15,12,20,58.37
27,28,Imperial College London,United Kingdom,3,84,73,35,26,26,29,41,57.53
28,29,University of Texas Southwestern Medical Center,USA,21,19,102,32,102,43,84,102,56.43
29,30,University of Texas at Austin,USA,22,102,78,27,41,47,40,57,56.18
30,31,University College London,United Kingdom,4,35,102,45,27,23,33,86,55.21
31,32,Osaka University,Japan,3,77,102,44,39,44,51,11,54.43
32,33,Northwestern University,USA,23,102,32,102,24,25,20,35,54.40
33,34,"University of Michigan, Ann Arbor",USA,24,68,60,102,2,17,7,8,53.72
34,35,University of Toronto,Canada,1,102,102,34,7,14,18,102,53.43
35,36,University of North Carolina at Chapel Hill,USA,25,102,86,56,31,29,31,29,53.09
36,37,Washington University in St. Louis,USA,26,74,62,102,32,18,30,14,52.90
37,38,University of Utah,USA,27,92,102,41,74,52,67,12,52.64
38,39,University of Washington - Seattle,USA,28,102,102,40,5,7,5,102,52.25
39,40,"University of California, Santa Barbara",USA,29,102,102,28,68,72,36,102,52.15
40,41,McGill University,Canada,2,70,91,54,33,39,47,102,51.72
41,42,"Purdue University, West Lafayette",USA,30,95,70,49,61,102,58,19,51.66
42,43,Carnegie Mellon University,USA,31,30,81,26,102,102,61,102,51.60
43,44,University of Southern California,USA,32,102,102,63,46,48,32,23,51.38
44,45,"University of California, Davis",USA,33,79,102,92,23,40,25,32,51.06
45,46,University of Colorado Boulder,USA,34,83,88,48,71,54,56,102,50.68
46,47,"University of California, Irvine",USA,35,102,102,38,59,57,52,65,50.64
47,48,University of Paris-Sud,France,1,48,102,25,73,96,102,102,50.44
48,49,"University of Minnesota, Twin Cities",USA,36,102,102,85,18,31,17,84,50.30
49,50,University of Arizona,USA,37,102,102,88,45,42,45,27,50.29
50,51,Technion – Israel Institute of Technology,Israel,3,45,89,36,102,102,102,51,50.01
51,52,"Ohio State University, Columbus",USA,38,102,102,83,30,50,35,54,49.54
52,53,University of Rochester,USA,39,41,54,102,82,68,54,62,49.51
53,54,École normale supérieure - Paris,France,2,3,61,77,102,102,102,102,49.10
54,55,University of Florida,USA,40,102,102,96,29,74,42,2,48.80
55,56,Tel Aviv University,Israel,4,97,102,51,72,102,102,35,48.76
56,57,Rice University,USA,41,28,53,94,102,102,53,102,48.76
57,58,Dartmouth College,USA,42,27,13,102,102,102,102,92,48.50
58,59,Vanderbilt University,USA,43,80,72,102,50,35,49,102,48.44
59,60,University of Edinburgh,United Kingdom,1,71,102,43,64,41,70,102,48.43
60,61,École Polytechnique,France,3,47,3,102,102,102,102,102,48.33
61,62,Boston University,USA,44,102,102,86,48,34,37,102,48.31
62,63,Pierre-and-Marie-Curie University,France,4,54,102,84,36,53,78,102,48.26
63,64,"Pennsylvania State University, University Park",USA,45,102,94,102,38,60,27,99,48.15
64,65,University of Geneva,Switzerland,2,46,102,29,102,93,102,102,47.94
65,66,Brown University,USA,46,49,37,65,102,73,92,102,47.91
66,67,University of British Columbia,Canada,3,102,102,93,28,38,48,102,47.74
67,68,"University of Maryland, College Park",USA,47,85,102,50,47,55,41,102,47.69
68,69,Swiss Federal Institute of Technology in Lausanne,Switzerland,3,102,30,82,102,102,102,74,47.68
69,70,Karolinska Institute,Sweden,1,51,102,42,84,49,95,102,47.61
70,71,University of Pittsburgh - Pittsburgh Campus,USA,48,81,102,102,21,32,24,61,47.59
71,72,Rutgers University-New Brunswick,USA,49,102,102,59,80,83,72,85,47.50
72,73,"Texas A&M University, College Station",USA,50,102,102,46,58,102,80,102,47.31
73,74,Nagoya University,Japan,4,56,102,69,102,102,102,46,46.89
74,75,Seoul National University,South Korea,1,102,34,102,44,102,69,4,46.74
75,76,University of Manchester,United Kingdom,5,102,102,75,52,70,63,102,46.38
76,77,Sapienza University of Rome,Italy,1,102,102,30,70,102,102,102,46.34
77,78,Case Western Reserve University,USA,51,33,102,102,96,63,65,102,46.11
78,79,Tohoku University,Japan,5,53,102,102,49,100,67,29,45.82
79,80,Arizona State University,USA,52,102,102,70,102,102,77,49,45.70
80,81,Emory University,USA,53,102,97,102,54,37,50,46,45.47
81,82,Ruprecht Karl University of Heidelberg,Germany,1,87,102,52,86,58,100,102,45.33
82,83,Ludwig Maximilian University of Munich,Germany,2,90,102,90,60,45,62,102,45.21
83,84,University of Virginia,USA,54,102,50,102,76,62,57,86,45.20
84,85,Leiden University,Netherlands,1,88,102,76,81,65,102,102,45.13
85,86,Tufts University,USA,55,60,41,102,102,95,75,102,44.91
86,87,Georgia Institute of Technology,USA,56,102,67,102,79,102,46,40,44.71
87,88,University of Zurich,Switzerland,4,102,102,80,102,69,99,102,44.51
88,89,University of Helsinki,Finland,1,96,102,79,62,64,54,102,44.44
89,90,Technical University of Munich,Germany,3,52,102,102,91,76,94,102,44.32
90,91,University of Oslo,Norway,1,102,102,39,102,102,102,102,44.26
91,92,University of Queensland,Australia,1,102,102,102,67,90,89,46,44.18
92,93,University of Copenhagen,Denmark,1,102,102,60,85,66,102,102,44.15
93,94,University of Sydney,Australia,2,102,102,102,56,92,85,69,44.13
94,95,Williams College,USA,57,18,15,102,102,102,102,102,43.89
95,96,University of Texas MD Anderson Cancer Center,USA,58,102,102,102,95,46,66,100,43.88
96,97,University of Nottingham,United Kingdom,6,102,102,87,102,102,102,92,43.79
97,98,University of Bristol,United Kingdom,7,102,102,78,75,81,86,102,43.77
98,99,Utrecht University,Netherlands,2,100,102,102,65,102,60,102,43.47
99,100,Mines ParisTech,France,5,44,4,102,102,102,102,102,43.36
